Region,PreCovid,Covid2020,PostCovid
Andhra Pradesh,4.826874999999999,11.010833333333332,
Telangana,4.1156250000000005,12.5675,
Tamil Nadu,3.0637499999999998,17.578333333333333,
Rajasthan,12.30125,16.40083333333333,
Punjab,10.8825,13.5625,
Puducherry,1.699375,23.84,
Odisha,3.66125,8.320000000000002,
Meghalaya,4.0125,5.9427272727272715,
Maharashtra,5.459375,10.355,
Madhya Pradesh,4.788124999999999,10.8975,
Kerala,7.13125,14.114166666666664,
Tripura,28.363125,28.33333333333333,
Karnataka,3.2387499999999996,11.259166666666667,
Jharkhand,14.23375,29.05333333333333,
Jammu & Kashmir,16.141666666666666,16.25111111111111,
Uttar Pradesh,10.888125,14.769166666666669,
Himachal Pradesh,19.064375,17.84166666666667,
Haryana,22.79875,30.92916666666667,
Uttarakhand,5.800625,7.720909090909089,
Gujarat,4.979374999999999,8.910000000000002,
Goa,9.34625,9.129999999999999,
Delhi,13.750625,20.155,
Chhattisgarh,7.346875,11.764999999999999,
Chandigarh,15.822500000000002,16.330000000000002,
Bihar,13.8825,25.632500000000004,
Assam,6.4206666666666665,6.4381818181818184,
West Bengal,6.625624999999999,10.123333333333333,
Sikkim,6.257272727272727,9.068333333333333,
,,,
